B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,CDOM Proxy (B3/B4),NDCI,NSMI,B4/B3,B4/B2,B4/B1,GCE_Salinity,GCE_Temperature(C)
347,477,600,435,396,141,142,129,93,1,38,39,-0.542553191,1.379310345,-0.046931408,0.369047619,0.725,0.911949686,1.253602305,29.32,18.62
368,454,582,424,376,132,135,126,92,1,37,37,-0.541818182,1.372641509,-0.06,0.378082192,0.728522337,0.933920705,1.152173913,29.32,18.62
339,391,532,354,285,115,99,97,65,1,8,5,-0.569844789,1.502824859,-0.107981221,0.387627251,0.665413534,0.905370844,1.044247788,28.66,13.43
410,472,631,442,396,145,146,116,77,1,7,9,-0.584229391,1.42760181,-0.054892601,0.388996764,0.700475436,0.936440678,1.07804878,28.97,11.32
428,439,605,426,387,139,139,110,73,1,6,9,-0.589552239,1.420187793,-0.04797048,0.402721088,0.704132231,0.970387244,0.995327103,28.97,11.32
223,143,236,231,189,44,51,57,22,109,59,41,-0.604166667,1.021645022,-0.1,0.531147541,0.978813559,1.615384615,1.035874439,12.23,15.5
308,324,396,304,273,150,156,141,140,175,128,106,-0.366292135,1.302631579,-0.05372617,0.3671875,0.767676768,0.938271605,0.987012987,17.07,19.9
404,412,548,480,445,205,208,183,150,161,91,83,-0.447963801,1.141666667,-0.037837838,0.427777778,0.875912409,1.165048544,1.188118812,17.95,15.5
400,379,468,348,314,178,194,167,163,305,132,122,-0.351456311,1.344827586,-0.051359517,0.365690377,0.743589744,0.918205805,0.87,20.68,17.1
611,593,683,574,593,406,415,428,382,650,386,337,-0.145708583,1.18989547,0.016281063,0.358918919,0.840409956,0.967959528,0.939443535,18.83,24.9
489,383,450,315,288,212,231,173,136,368,143,81,-0.290983607,1.428571429,-0.044776119,0.332752613,0.7,0.822454308,0.644171779,21.03,28.2
633,541,626,479,467,336,333,285,293,429,226,180,-0.253926702,1.306889353,-0.012684989,0.342648846,0.765175719,0.885397412,0.75671406,19.31,30
595,511,596,466,444,188,212,184,164,340,188,152,-0.433846154,1.278969957,-0.024175824,0.350286078,0.781879195,0.911937378,0.783193277,23.74,28.8
459,536,612,476,485,349,355,348,322,486,333,267,-0.155339806,1.285714286,0.009365245,0.339901478,0.777777778,0.888059701,1.037037037,28.72,28.6
403,425,524,380,369,162,182,145,126,299,106,73,-0.447619048,1.378947368,-0.014686248,0.360421369,0.72519084,0.894117647,0.94292804,30.31,30.6
480,377,485,345,301,166,168,114,105,286,93,51,-0.503267974,1.405797101,-0.068111455,0.375310688,0.711340206,0.915119363,0.71875,29.37,29.4
332,332,464,433,629,914,1008,1079,1136,1057,991,602,0.427248677,1.071593533,0.184557439,0.459723352,0.933189655,1.304216867,1.304216867,30.91,27.76
294,348,417,370,491,710,885,976,977,991,817,510,0.450222883,1.127027027,0.140534262,0.386784141,0.887290168,1.063218391,1.258503401,31.2,23.91
424,358,476,357,325,209,210,192,173,450,134,94,-0.300546448,1.333333333,-0.046920821,0.398824517,0.75,0.997206704,0.841981132,27.28,27.5
393,346,441,311,281,146,154,135,122,210,80,64,-0.394618834,1.418006431,-0.050675676,0.369763206,0.70521542,0.898843931,0.791348601,29.22,28.3
171,233,283,275,403,710,824,1007,919,927,809,531,0.570982839,1.029090909,0.18879056,0.410872314,0.971731449,1.180257511,1.608187135,18.02,16.41
220,321,372,386,567,874,1032,1186,1115,1091,932,617,0.508905852,0.96373057,0.189926548,0.405004634,1.037634409,1.202492212,1.754545455,0.71,12.31
213,194,293,299,482,899,977,1159,1179,1062,873,520,0.589849108,0.97993311,0.234314981,0.506361323,1.020477816,1.541237113,1.403755869,16.2,14.77
174,252,297,311,446,710,900,951,981,950,809,530,0.507131537,0.954983923,0.178335535,0.413953488,1.047138047,1.234126984,1.787356322,17.69,15.18
223,223,321,339,529,815,1014,1165,1141,1154,944,573,0.549202128,0.946902655,0.218894009,0.494903737,1.056074766,1.520179372,1.520179372,7.48,11.43
